movie_title,num_critic_for_reviews,duration,actor_3_facebook_likes,gross,num_voted_users,facenumber_in_poster,num_user_for_reviews,budget,title_year,imdb_score
Avatar?ÿ,723,178.0,855,760505847,886204.0,0.0,3054,237000000,2009,7.9
Pirates of the Caribbean: At World's End?ÿ,302,0.0,1000,309404152,471220.0,0.0,1238,300000000,2007,7.1
Spectre?ÿ,602,148.0,161,200074175,275868.0,1.0,994,245000000,2015,6.8
The Dark Knight Rises?ÿ,813,0.0,23000,448130642,1144337.0,0.0,2701,250000000,2012,8.5
John Carter?ÿ,462,132.0,530,73058679,212204.0,1.0,738,263700000,2012,6.6
Spider-Man 3?ÿ,392,156.0,4000,336530303,383056.0,0.0,1902,258000000,2007,6.2
Tangled?ÿ,324,0.0,284,200807262,294810.0,1.0,387,260000000,2010,7.8
Avengers: Age of Ultron?ÿ,635,141.0,19000,458991599,462669.0,4.0,1117,250000000,2015,7.5
Avengers: Age of Ultron?ÿ,635,141.0,19000,458991599,462669.0,4.0,1117,250000000,2015,7.5
Harry Potter and the Half-Blood Prince?ÿ,375,153.0,10000,301956980,321795.0,3.0,973,250000000,2009,7.5
Batman v Superman: Dawn of Justice?ÿ,673,183.0,2000,330249062,0.0,0.0,3018,250000000,2016,6.9
Superman Returns?ÿ,434,169.0,903,200069408,240396.0,2.0,2367,209000000,2006,6.1
Quantum of Solace?ÿ,403,106.0,393,168368427,330784.0,1.0,1243,200000000,2008,6.7
Pirates of the Caribbean: Dead Man's Chest?ÿ,313,151.0,1000,423032628,522040.0,2.0,1832,225000000,2006,7.3
